ID,label
0,6
1,1
2,2
3,5
4,3
5,2
6,6
7,7
8,5
9,6
10,5
11,2
12,3
13,1
14,8
15,5
16,0
17,4
18,8
19,4
20,8
21,4
22,7
23,2
24,7
25,6
26,3
27,7
28,3
29,1
30,1
31,3
32,6
33,1
34,2
35,5
36,7
37,5
38,7
39,7
40,0
41,7
42,8
43,1
44,3
45,0
46,8
47,0
48,0
49,4
50,6
51,6
52,6
53,8
54,4
55,0
56,2
57,4
58,4
59,2
60,2
61,6
62,2
63,1
64,7
65,4
66,4
67,7
68,4
69,5
70,4
71,2
72,8
73,8
74,2
75,5
76,2
77,4
78,7
79,2
80,3
81,4
82,6
83,1
84,4
85,4
86,4
87,6
88,2
89,6
90,8
91,0
92,5
93,3
94,5
95,3
96,8
97,5
98,2
99,0
100,2
101,4
102,1
103,3
104,7
105,4
106,0
107,0
108,1
109,3
110,4
111,4
112,4
113,1
114,7
115,3
116,6
117,7
118,6
119,4
120,1
121,1
122,3
123,3
124,8
125,7
126,6
127,3
128,5
129,4
130,7
131,7
132,5
133,2
134,0
135,3
136,3
137,7
138,8
139,6
140,6
141,1
142,0
143,3
144,2
145,3
146,4
147,2
148,2
149,7
150,4
151,1
152,8
153,6
154,5
155,3
156,4
157,5
158,5
159,4
160,4
161,0
162,3
163,2
164,6
165,1
166,4
167,0
168,7
169,3
170,4
171,4
172,6
173,0
174,8
175,4
176,6
177,1
178,6
179,1
180,6
181,8
182,7
183,1
184,0
185,4
186,6
187,1
188,4
189,7
190,5
191,7
192,2
193,3
194,6
195,4
196,7
197,3
198,3
199,6
200,4
201,1
202,6
203,4
204,5
205,2
206,4
207,7
208,5
209,8
210,5
211,6
212,8
213,1
214,5
215,4
216,1
217,0
218,4
219,3
220,6
221,0
222,5
223,0
224,1
225,1
226,3
227,4
228,1
229,4
230,1
231,5
232,7
233,8
234,4
235,7
236,0
237,5
238,7
239,3
240,3
241,4
242,2
243,6
244,4
245,0
246,6
247,5
248,2
249,2
250,4
251,6
252,4
253,6
254,7
255,6
256,8
257,2
258,1
259,0
260,2
261,6
262,6
263,3
264,4
265,1
266,6
267,5
268,2
269,1
270,8
271,6
272,7
273,8
274,5
275,2
276,5
277,3
278,2
279,0
280,1
281,6
282,7
283,2
284,7
285,7
286,1
287,6
288,2
289,6
290,3
291,0
292,5
293,4
294,4
295,7
296,4
297,5
298,5
299,6
300,6
301,3
302,4
303,2
304,0
305,3
306,1
307,6
308,3
309,2
310,6
311,3
312,2
313,6
314,3
315,1
316,2
317,1
318,7
319,5
320,8
321,7
322,3
323,0
324,6
325,0
326,4
327,7
328,3
329,7
330,4
331,5
332,1
333,5
334,6
335,8
336,7
337,5
338,6
339,8
340,0
341,6
342,5
343,5
344,1
345,4
346,6
347,1
348,6
349,4
350,4
351,0
352,2
353,6
354,8
355,5
356,4
357,4
358,6
359,3
360,3
361,7
362,4
363,5
364,3
365,4
366,2
367,5
368,7
369,4
370,0
371,4
372,7
373,6
374,6
375,3
376,5
377,1
378,3
379,1
380,2
381,1
382,0
383,4
384,7
385,6
386,0
387,3
388,4
389,8
390,5
391,8
392,5
393,5
394,6
395,3
396,8
397,3
398,6
399,4
400,5
401,6
402,5
403,6
404,8
405,6
406,7
407,6
408,3
409,1
410,4
411,5
412,1
413,6
414,6
415,8
416,7
417,7
418,6
419,5
420,2
421,8
422,7
423,6
424,5
425,0
426,0
427,4
428,6
429,5
430,1
431,6
432,0
433,0
434,3
435,4
436,0
437,8
438,0
439,6
440,0
441,4
442,4
443,0
444,5
445,5
446,6
447,0
448,5
449,5
450,4
451,7
452,6
453,3
454,2
455,4
456,8
457,2
458,4
459,7
460,7
461,2
462,3
463,3
464,2
465,6
466,6
467,5
468,0
469,0
470,8
471,0
472,5
473,7
474,6
475,4
476,2
477,1
478,4
479,3
480,7
481,7
482,6
483,6
484,0
485,4
486,1
487,7
488,6
489,0
490,7
491,3
492,2
493,7
494,6
495,4
496,7
497,2
498,0
499,5
500,0
501,8
502,2
503,1
504,8
505,7
506,4
507,0
508,8
509,5
510,6
511,4
512,6
513,6
514,2
515,1
516,6
517,0
518,2
519,8
520,1
521,2
522,7
523,6
524,6
525,5
526,3
527,1
528,4
529,2
530,6
531,0
532,3
533,7
534,6
535,4
536,8
537,0
538,7
539,6
540,5
541,1
542,1
543,4
544,8
545,5
546,6
547,4
548,3
549,4
550,1
551,8
552,5
553,4
554,0
555,8
556,4
557,5
558,1
559,6
560,5
561,5
562,6
563,6
564,8
565,2
566,2
567,1
568,2
569,1
570,1
571,3
572,5
573,6
574,8
575,6
576,3
577,1
578,1
579,1
580,8
581,4
582,1
583,8
584,5
585,7
586,1
587,5
588,5
589,1
590,5
591,8
592,1
593,3
594,6
595,3
596,2
597,5
598,3
599,0
600,3
601,2
602,3
603,4
604,6
605,2
606,4
607,4
608,8
609,3
610,5
611,7
612,5
613,0
614,4
615,6
616,3
617,2
618,5
619,7
620,7
621,7
622,3
623,7
624,4
625,6
626,7
627,0
628,3
629,4
630,6
631,7
632,3
633,7
634,5
635,2
636,7
637,4
638,0
639,8
640,1
641,8
642,0
643,8
644,7
645,7
646,8
647,5
648,6
649,8
650,1
651,1
652,8
653,4
654,7
655,6
656,7
657,6
658,8
659,4
660,5
661,4
662,2
663,1
664,2
665,3
666,2
667,0
668,6
669,3
670,6
671,5
672,6
673,3
674,4
675,6
676,0
677,7
678,5
679,7
680,6
681,7
682,4
683,0
684,6
685,1
686,4
687,4
688,0
689,3
690,4
691,8
692,7
693,0
694,1
695,5
696,1
697,4
698,6
699,2
700,3
701,6
702,7
703,2
704,1
705,6
706,6
707,8
708,5
709,3
710,6
711,5
712,4
713,7
714,7
715,1
716,2
717,7
718,2
719,0
720,5
721,6
722,6
723,3
724,8
725,5
726,8
727,2
728,2
729,3
730,1
731,5
732,3
733,7
734,0
735,7
736,6
737,0
738,0
739,7
740,1
741,7
742,8
743,1
744,4
745,6
746,2
747,6
748,6
749,4
750,3
751,1
752,6
753,5
754,0
755,4
756,8
757,0
758,6
759,5
760,5
761,7
762,3
763,5
764,4
765,7
766,3
767,1
768,5
769,0
770,4
771,3
772,7
773,7
774,8
775,3
776,3
777,0
778,0
779,6
780,6
781,4
782,6
783,0
784,6
785,3
786,3
787,5
788,8
789,4
790,6
791,8
792,6
793,4
794,5
795,4
796,3
797,4
798,1
799,3
800,2
801,6
802,7
803,1
804,4
805,4
806,2
807,6
808,6
809,0
810,1
811,1
812,4
813,0
814,0
815,1
816,6
817,3
818,2
819,5
820,3
821,8
822,6
823,3
824,8
825,3
826,1
827,2
828,3
829,5
830,6
831,6
832,3
833,8
834,3
835,2
836,0
837,0
838,1
839,5
840,0
841,5
842,5
843,6
844,6
845,2
846,6
847,0
848,4
849,6
850,1
851,7
852,7
853,3
854,5
855,6
856,0
857,3
858,0
859,0
860,4
861,6
862,3
863,5
864,0
865,1
866,4
867,0
868,5
869,8
870,7
871,8
872,1
873,0
874,0
875,6
876,6
877,0
878,8
879,4
880,2
881,7
882,0
883,6
884,3
885,6
886,5
887,2
888,0
889,7
890,3
891,1
892,1
893,2
894,0
895,5
896,4
897,6
898,1
899,5
900,5
901,4
902,2
903,6
904,2
905,7
906,6
907,7
908,5
909,6
910,3
911,0
912,7
913,5
914,3
915,0
916,6
917,1
918,8
919,5
920,4
921,8
922,5
923,4
924,1
925,6
926,3
927,1
928,5
929,5
930,0
931,7
932,5
933,4
934,3
935,7
936,2
937,2
938,7
939,2
940,2
941,4
942,8
943,8
944,7
945,8
946,6
947,4
948,5
949,5
950,6
951,4
952,7
953,7
954,7
955,2
956,6
957,4
958,2
959,8
960,6
961,3
962,4
963,5
964,5
965,1
966,2
967,6
968,5
969,2
970,2
971,2
972,4
973,2
974,4
975,0
976,3
977,4
978,0
979,8
980,5
981,1
982,3
983,2
984,3
985,0
986,2
987,6
988,4
989,5
990,2
991,2
992,5
993,8
994,6
995,7
996,6
997,0
998,2
999,3
1000,3
1001,4
1002,8
1003,5
1004,0
1005,4
1006,1
1007,7
1008,5
1009,7
1010,3
1011,3
1012,4
1013,4
1014,6
1015,6
1016,5
1017,0
1018,4
1019,7
1020,5
1021,0
1022,6
1023,4
1024,6
1025,8
1026,1
1027,6
1028,0
1029,8
1030,1
1031,8
1032,4
1033,6
1034,6
1035,2
1036,1
1037,8
1038,6
1039,6
1040,6
1041,2
1042,5
1043,4
1044,5
1045,7
1046,7
1047,7
1048,8
1049,6
1050,5
1051,3
1052,3
1053,3
1054,7
1055,2
1056,4
1057,1
1058,0
1059,7
1060,7
1061,2
1062,7
1063,4
1064,3
1065,3
1066,3
1067,6
1068,0
1069,8
1070,3
1071,0
1072,4
1073,3
1074,0
1075,8
1076,7
1077,6
1078,4
1079,4
1080,2
1081,6
1082,4
1083,6
1084,8
1085,4
1086,5
1087,3
1088,1
1089,6
1090,8
1091,3
1092,2
1093,4
1094,7
1095,2
1096,2
1097,3
1098,0
1099,5
1100,0
1101,0
1102,7
1103,2
1104,7
1105,2
1106,7
1107,4
1108,4
1109,0
1110,4
1111,3
1112,0
1113,5
1114,1
1115,2
1116,2
1117,6
1118,1
1119,3
1120,7
1121,8
1122,5
1123,3
1124,6
1125,6
1126,3
1127,8
1128,2
1129,3
1130,6
1131,3
1132,3
1133,2
1134,0
1135,7
1136,7
1137,3
1138,4
1139,5
1140,8
1141,7
1142,5
1143,3
1144,4
1145,5
1146,3
1147,6
1148,6
1149,6
1150,4
1151,4
1152,4
1153,8
1154,5
1155,4
1156,4
1157,3
1158,8
1159,2
1160,4
1161,4
1162,6
1163,5
1164,6
1165,4
1166,1
1167,6
1168,5
1169,6
1170,6
1171,7
1172,3
1173,8
1174,5
1175,3
1176,5
1177,6
1178,5
1179,7
1180,8
1181,3
1182,4
1183,7
1184,5
1185,7
1186,4
1187,3
1188,2
1189,7
1190,8
1191,5
1192,3
1193,2
1194,5
1195,1
1196,6
1197,2
1198,0
1199,5
1200,3
1201,3
1202,2
1203,3
